restaurant_name,address,price,smiles,frowns,type1,type2,type3,type4,region,avg_price,simp_type,Districts,DistrictValue,lon,lat
Corner Kitchen Cafe,"G/F, 226 Hollywood Road, Sheung Wan",$101-$200,19,0,Western,Sandwich,Hamburger,All Day Breakfast,Sheung Wan,300,Western,Central and Western,1,114.147405,22.285643
Vermicelli and fish soup specialist,"G/F, 10 Hillier Street, Sheung Wan",Below $50,73,5,Hong Kong Style,Noodles/Rice Noodles,,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1516692,22.2854332
Tim's Kitchen,"Shop A, G/F & 1/F, 84-90 Bonham Strand, Sheung Wan",$401-$800,61,9,Guangdong,Stir-Fry,,,Sheung Wan,600,Hong Kong,Central and Western,1,114.150468,22.285959
NOSH Tai Ping Shan,"G/F.,, 11 Upper Station Street, Sheung Wan",$101-$200,20,1,Western,Bakery,Coffee Shop,,Sheung Wan,300,Western,Central and Western,1,114.1482157,22.2848688
3rd Space,"G/F, Tai Hing Building, 22A Po Hing Fong, Sheung Wan",$101-$200,28,4,Western,International,Dessert,Hamburger,Sheung Wan,300,Western,Central and Western,1,114.1475266,22.2843699
Zumufi,"Shop D, G/F, Willy Commercial Building, 28-36 Wing Kut Street, Sheung Wan",$51-$100,17,0,Western,Bakery,Taiwanese Drink,Coffee Shop,Sheung Wan,75,Western,Central and Western,1,114.1541217,22.285282
Dim Sum Square,"G/F., Fu Fai Commercial Centre, 27 Hillier Street, Sheung Wan",$51-$100,17,1,Hong Kong Style,Dim Sum,,,Sheung Wan,75,Hong Kong,Central and Western,1,114.1512376,22.2851701
Crafty Cow,"G/F, 3-3A Upper Station Street, Sheung Wan",$201-$400,15,0,American,Steak House,,,Sheung Wan,150,Western,Central and Western,1,114.1483197,22.2850196
The Cupping Room,"Shop LG, The Centre Mark, 287-299 Queen's Road Central (Entrance on Cleverly Street), Sheung Wan",$51-$100,28,7,Italian,Western,Coffee Shop,,Sheung Wan,75,Western,Central and Western,1,114.1512383,22.2861358
Tenshu Tempura & Sashimi Restaurant,"Shop A, G/F, Lam's Building, 6-10 Kau U Fong, Sheung Wan",$401-$800,29,1,Japanese,Seafood,Sushi/Sashimi,,Sheung Wan,600,Asian,Central and Western,1,114.152916,22.284616
Lan Fong Yuen,"Shop 304D, 3/F, Shun Tak Centre, 168-200 Connaugh Road Central, Sheung Wan",Below $50,39,31,Hong Kong Style,Tea Restaurant,,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1491375,22.2863943
Barista Jam,"Shop D, G/F, 126-128 Jervois Street, Sheung Wan",Below $50,67,2,Australian,Italian,Coffee Shop,,Sheung Wan,40,Western,Central and Western,1,114.150143,22.285594
The Kinnet Cafe,"3/F, 33 Hillier Street, Sheung Wan",$101-$200,17,0,Mediterranean,Western,Herbal Cuisine,Meatless Menu,Sheung Wan,300,Western,Central and Western,1,114.1509216,22.284786
Brew Bros Coffee,"Shop F2, LG/F, 33 Hillier Street, Sheung Wan",$51-$100,15,0,Western,Takeaway,Coffee Shop,Snack Shop & Deli,Sheung Wan,75,Western,Central and Western,1,114.1509216,22.284786
RosHome Kitchen,"Shop 2, G/F, Bonham Trade Centre, 50 Bonham Strand East, Sheung Wan",Below $50,20,0,Western,Bakery,Coffee Shop,,Sheung Wan,40,Western,Central and Western,1,114.1513267,22.2858159
ABC Kitchen,"Shop 7, Food Market, 1 Queen Street , Sheung Wan",$201-$400,96,11,Western,Pizza,Dai Pai Dong,,Sheung Wan,150,Western,Central and Western,1,114.1470024,22.2871841
K-Roll,"Shop 6A, G/F, Sen Fat Building, 6 Bonham Strand, Sheung Wan",$51-$100,26,2,Korean,Takeaway,,,Sheung Wan,75,Asian,Central and Western,1,114.1525194,22.285314
"the Roaster, SteP by SteP","G/F, 26 Upper Lascar Row, Sheung Wan",$51-$100,17,1,Western,Bakery,Dessert,Western Restaurant,Sheung Wan,75,Western,Central and Western,1,114.1497535,22.284793
Tokuzen Sushi,"G/F, 145 Connaught Road Central, Sheung Wan",$101-$200,17,1,Japanese,Ramen,Sushi/Sashimi,Skewer,Sheung Wan,300,Asian,Central and Western,1,114.1512761,22.287191
Sang Kee Congee Shop,"G/F, 7-9 Burd Street, Sheung Wan",Below $50,145,17,Guangdong,Congee,,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1516918,22.2852983
Deli-O,"Shop 268A, 2/F, Shun Tak Centre, 168-200 Connaught Road Central, Sheung Wan",Below $50,18,1,Hong Kong Style,Fast Food,,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1518293,22.2878529
MAN MO Cafe,"40 Upper Lascar Row, Sheung Wan",$201-$400,12,2,Guangdong,Western,Dim Sum,Wonton/Dumpling,Sheung Wan,150,Hong Kong,Central and Western,1,114.1496032,22.2849077
La Cantoche,"G/F, 227 Hollywood Road, Sheung Wan",$201-$400,15,0,French,Western Restaurant,,,Sheung Wan,150,Western,Central and Western,1,114.1485355,22.2854331
Tartes & Pop,"G/F, 2 Morrison Street, Sheung Wan",Below $50,17,0,French,Cake,Takeaway,Chocolate/Candy Shop,Sheung Wan,40,Western,Central and Western,1,114.1506445,22.2872506
Suzuki Cafe Company,"Shop 103-105, 1/F, Infinitus Plaza, 199 Des Voeux Road Central, Sheung Wan",$51-$100,24,6,Japanese,Taiwanese Drink,Soup,Meatless Menu,Sheung Wan,75,Asian,Central and Western,1,114.1537035,22.286389
Chuen Cheung Kui,"Shop C & 1/F, Alliance Building, 133 Connaught Road Central, Sheung Wan",$101-$200,13,0,Hakka,Stir-Fry,,,Sheung Wan,300,Chinese,Central and Western,1,114.1496,22.28797
Wing Lee Wai Wines LTD,"G/F, Wing Lee Wai Building ,124  Wing Lok Street, Sheung Wan",$51-$100,25,1,Hong Kong Style,Shanghai Hairy Crab,,,Sheung Wan,75,Hong Kong,Central and Western,1,114.1496598,22.2867531
For Kee Restaurant,"Shop J-K., 200 Hollywood Road, Sheung Wan",Below $50,65,6,Hong Kong Style,Tea Restaurant,,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1479256,22.2852979
The Lot on Possession,"22 Possession Street, Sheung Wan",$101-$200,18,1,Italian,Pizza,Hamburger,Western Restaurant,Sheung Wan,300,Western,Central and Western,1,114.1481298,22.2857311
CLUB CHOW,"9/F, The Pemberton, 22-26 Bonham Strand, Sheung Wan",$201-$400,24,2,Italian,French,Western Restaurant,Bar,Sheung Wan,150,Western,Central and Western,1,114.1521281,22.2854991
Paper Stone Bakery,"Shop 4-5, G/F, FWD Financial Centre, 308 Des Voeux Road, Sheung Wan",Below $50,11,2,Western,Bakery,,,Sheung Wan,40,Western,Central and Western,1,114.1391221,22.2872579
Bun Cha Vietnamese,"Shop 1, G/F, King Ho Building, 41-49 Aberdeen Street, Soho, Sheung Wan",$101-$200,10,0,Vietnamese,Noodles/Rice Noodles,,,Sheung Wan,300,Asian,Central and Western,1,114.1491375,22.2863943
Ho Hak Shan Tung,"G/F., 17 Burd Street, Sheung Wan",Below $50,14,0,Shandong,Wonton/Dumpling,Stir-Fry,,Sheung Wan,40,Chinese,Central and Western,1,114.1514553,22.285218
Tokyo Milk Cheese Factory,"Shop 4-6, G/F, Western Market, 323 Des Voeux Road Central, Sheung Wan",$51-$100,11,0,Japanese,Cake,,,Sheung Wan,75,Asian,Central and Western,1,114.1503855,22.2873075
Table,"8/F, The Pemberton ,22-26 Bonham Strand East, Sheung Wan",$401-$800,13,1,Japanese,Western,International,Seafood,Sheung Wan,600,Asian,Central and Western,1,114.1521281,22.2854991
Green Veggie,"Room A-B, 1/F, Finance Building, 254 Des Vouex Road Central, Sheung Wan",$51-$100,10,0,International,Vegetarian,Meatless Menu,Western Restaurant,Sheung Wan,75,International,Central and Western,1,114.1519024,22.2864095
Jenny Bakery,"Ground Floor, 15 Wing Wo Street, Sheung Wan",$51-$100,13,7,Western,Bakery,,,Sheung Wan,75,Western,Central and Western,1,114.1537285,22.285103
Hana-Musubi,"Shop 204, 2/F, Grand Millennium Plaza, 181 Queen's Road Central, Sheung Wan",Below $50,12,1,Japanese,Sushi/Sashimi,Takeaway,,Sheung Wan,40,Asian,Central and Western,1,114.1533557,22.2851111
Yardbird,"33-35 Bridges Street, Sheung Wan",$401-$800,28,4,Japanese,,,,Sheung Wan,600,Asian,Central and Western,1,114.1505437,22.2835973
The Fingerprint,"G/F, 100 Jervois Street, Sheung Wan",$401-$800,13,0,Japanese,Sushi/Sashimi,Yoshoku,,Sheung Wan,600,Asian,Central and Western,1,114.1507608,22.2850963
Elephant Grounds,"(Inside Woaw Store), 11 Gough Street, Sheung Wan",Below $50,10,1,International,Coffee Shop,,,Sheung Wan,40,International,Central and Western,1,114.1527147,22.2841345
Chachawan,"G/F, 206 Hollywood Road, Sheung Wan",$201-$400,18,3,Thai,,,,Sheung Wan,150,Asian,Central and Western,1,114.1478785,22.2854676
Genki Sushi,"Shop 241, 2/F, Shun Tak Centre, 168-200 Connaught Road Central, Sheung Wan",$101-$200,25,4,Japanese,Sushi/Sashimi,Sushi Bar,,Sheung Wan,300,Asian,Central and Western,1,114.1518293,22.2878529
,"G/F., 88 Jervois Street, Sheung Wan",Below $50,11,3,Hong Kong Style,Soup,Tea Restaurant,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1510145,22.2849274
Sushi Shikon,"The Mercer, 29 Jervois Street, Sheung Wan",Above $801,7,0,Japanese,Sushi/Sashimi,,,Sheung Wan,1200,Asian,Central and Western,1,114.1518205,22.2853859
Dandy's Organic Cafe,"G/F, 108 Jervois Street, Sheung Wan",$101-$200,12,0,Western,Herbal Cuisine,Coffee Shop,,Sheung Wan,300,Western,Central and Western,1,114.1506306,22.2853069
Shirokuma Curry,"Shop 228-230, 2/F, Shun Tak Centre, 168-200 Connaught Road Central, Sheung Wan",$51-$100,13,5,Japanese,Curry,,,Sheung Wan,75,Asian,Central and Western,1,114.1518293,22.2878529
Urawa Japanese Restaurant,"G/F, Tung Hip Commercial Building, 244-252 Des Voeux Road Central, Sheung Wan",$201-$400,45,17,Japanese,Sushi/Sashimi,All-you-can-eat,,Sheung Wan,150,Asian,Central and Western,1,114.152163,22.2862864
Noodlemi,"G/F, 2 Bonham Strand, Sheung Wan",$51-$100,14,1,Vietnamese,Noodles/Rice Noodles,,,Sheung Wan,75,Asian,Central and Western,1,114.1526031,22.2852894
,"G/F, 23-29 Wing Wo Street, Sheung Wan",Below $50,6,0,Hong Kong Style,Dessert,Takeaway,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1539682,22.2853166
Homei,"Shop B, G/F, 22-24A Tai Ping San Street, Sheung Wan",Below $50,35,2,Western,Coffee Shop,,,Sheung Wan,40,Western,Central and Western,1,114.1484654,22.2846105
,"Shop 8,  Food Market, 1 Queen's Road, Sheung Wan",Below $50,114,2,Chiu Chow,Takeaway,Snack Shop & Deli,,Sheung Wan,40,Chinese,Central and Western,1,114.1476807,22.2870208
Cafe Deco Pizzeria,"Shop 3-4, G/F, Tower 125, 11 Po Yan Street, Sheung Wan",$101-$200,11,1,International,Pizza,Western Restaurant,,Sheung Wan,300,International,Central and Western,1,114.147411,22.2851939
Hei Lee Cakes Shop,__________3 ______,Below $50,12,0,Hong Kong Style,Bakery,,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1180588,22.3520038
Das Gute,"G/F, Western Market, 323 Des Voeux Road Central, Sheung Wan",Below $50,87,9,Western,Bakery,Western Restaurant,,Sheung Wan,40,Western,Central and Western,1,114.1503855,22.2873075
Chan Kan Kee Chiu Chow Restaurant,"G/F, 11 Queen's Road West, Sheung Wan",$101-$200,97,21,Chiu Chow,Stir-Fry,,,Sheung Wan,300,Chinese,Central and Western,1,114.1485599,22.2863746
,____________212-214______A____,Below $50,28,2,Hong Kong Style,Bakery,Taiwanese Drink,,Sheung Wan,40,Hong Kong,Central and Western,1,114.119859,22.3677374
cha FOR TEA,"G/F, 10 Morrison Street, Sheung Wan",Below $50,15,1,Taiwan,Taiwanese Drink,,,Sheung Wan,40,Chinese,Central and Western,1,114.1502351,22.2859779
Gees Restaurant & Bar,"Shop G&H;, Hollywood Centre, 77-91 Queen's Road West, Sheung Wan",$201-$400,12,0,International,Wine/Cigar,Seafood,Western Restaurant,Sheung Wan,150,International,Central and Western,1,114.1471171,22.2865395
Little Burro,"1 Upper Station Street, Sheung Wan",$51-$100,10,1,Mexican,Western Restaurant,Fast Food,,Sheung Wan,75,Others,Central and Western,1,114.148621,22.2853066
Maxim's Cake Shop,"Shop 266, 2/F., Shun Tak Centre, 168-200 Connaught Road Centre, Sheung Wan",Below $50,7,0,Hong Kong Style,Bakery,,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1491375,22.2863943
Coco Espresso,"G/F, 197 Queens Road Central, Sheung Wan",Below $50,61,4,Western,All Day Breakfast,Coffee Shop,Casual Drink,Sheung Wan,40,Western,Central and Western,1,114.1447,22.2871292
Three Monkeys,"G/F, 151-155 Hollywood Road, Sheung Wan",$401-$800,12,2,Japanese,Skewer,Bar,Skewer,Sheung Wan,600,Asian,Central and Western,1,114.1506001,22.2840666
Macau Restaurant,"Shop 270-273, 2/F Shun Tak Centre, 168-200 Connaught Rd Central, Sheung Wan",$51-$100,58,26,Hong Kong Style,Tea Restaurant,,,Sheung Wan,75,Hong Kong,Central and Western,1,114.1491375,22.2863943
Trattoria Queen Hollywood,"G/F, 258 Hollywood Road, Sheung Wan",$401-$800,13,0,Italian,Wine/Cigar,Seafood,Vegetarian,Sheung Wan,600,Western,Central and Western,1,114.146893,22.2862259
Munchies,"G/F, 4 Shin Hing Street, Sheung Wan",Below $50,11,3,Western,Bakery,Dessert,,Sheung Wan,40,Western,Central and Western,1,114.1522056,22.2840864
Wing Kei Noodle Shop,"G/F, 21 Sutherland Street, Sai Ying Pun, Sheung Wan",Below $50,22,0,Chiu Chow,Noodles/Rice Noodles,,,Sheung Wan,40,Chinese,Central and Western,1,114.146073,22.288161
She Wong Lam,__________13______,Below $50,24,0,Guangdong,Soup,Snake Soup,Stir-Fry,Sheung Wan,40,Hong Kong,Central and Western,1,114.1840527,22.2798182
Treasure Lake Seafood Restaurant,"1/F, Hongway Garden, 7 On Tai Street, Sheung Wan",$101-$200,10,6,Guangdong,Seafood,Dim Sum Restaurant,Food Wise Eateries,Sheung Wan,300,Hong Kong,Central and Western,1,114.1497306,22.2872027
,"G/F, 20-22 Cleverly Street, Sheung Wan",Below $50,44,4,Hong Kong Style,Noodles/Rice Noodles,Tea Restaurant,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1510847,22.2857187
Maxim's Palace Chinese Restaurant,"B13-B18, B/F, Shun Tak Centre, 168-200 Connaught Road Central, Sheung Wan",$101-$200,15,1,Guangdong,Dim Sum,Dim Sum Restaurant,,Sheung Wan,300,Hong Kong,Central and Western,1,114.1518293,22.2878529
Greenixs Korea Food Court,"G/F., No. 5 Jervois Street, Sheung Wan",$51-$100,8,0,Korean,Fast Food,,,Sheung Wan,75,Asian,Central and Western,1,114.1525782,22.2852784
238 Restaurant,"GF., 238 Hollywood Road, Sheung Wan",$201-$400,11,3,Dutch,French,Wine/Cigar,Seafood,Sheung Wan,150,Western,Central and Western,1,114.1472997,22.2858983
Noodle Supreme,"Shop 1, 22-24 Jervois Street, Sheung Wan",Below $50,17,1,Hong Kong Style,Food Stall Noodles,Snack Shop & Deli,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1522627,22.2851777
Sheung Wan Canteen & Cafe,"G/F, 3 Burd Street, Sheung Wan",Below $50,9,0,Guangdong,Noodles/Rice Noodles,Chinese BBQ,Takeaway,Sheung Wan,40,Hong Kong,Central and Western,1,114.1517668,22.2853176
Yuet Lai Shun,"Shop C-G, G/F, Seaview Commercial Building, 21-24 Connaught Road West, Sheung Wan",$101-$200,9,1,Guangdong,Chinese BBQ,Stir-Fry,,Sheung Wan,300,Hong Kong,Central and Western,1,114.149144,22.2877449
,"18 East Street, Sheung Wan",Below $50,16,2,Hong Kong Style,Coffee Shop,,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1560289,22.2814365
La Porcina,"Shop C, G/F, 188 Hollywood Road, Sheung Wan",$101-$200,10,0,Spanish,Western,Seafood,Dessert,Sheung Wan,300,Western,Central and Western,1,114.1484575,22.2853462
Ronin,"8 On Wo Lane, Sheung Wan",$401-$800,10,2,Japanese,,,,Sheung Wan,600,Asian,Central and Western,1,114.1524161,22.2844695
Tak Shing Kitchen,"G/F, Wayson Commercial Building, 28 Connaught Road West, Sheung Wan",Below $50,23,0,Hong Kong Style,Noodles/Rice Noodles,Chinese BBQ,Tea Restaurant,Sheung Wan,40,Hong Kong,Central and Western,1,114.1488945,22.2878149
18 Grams,"Shop 2, G/F, Skyline Commercial Centre, 71-77 Wing Lok Street, Sheung Wan",$51-$100,8,3,Western,All Day Breakfast,Coffee Shop,,Sheung Wan,75,Western,Central and Western,1,114.1522156,22.2859264
,"CF11 Cooked Food Marke, Queen's Street , Sheung Wan",Below $50,27,1,Northeastern,Wonton/Dumpling,Cooked Food Center,,Sheung Wan,40,Chinese,Central and Western,1,114.147181,22.2873898
Italian Tomato,"Shop G & H, G/F, Kai Tak Commercial Building, 317-321 Des Voeux Road Central, Sheung Wan",$51-$100,6,0,Italian,,,,Sheung Wan,75,Western,Central and Western,1,72.0772755,33.532918
Fetch Coffee,"G/F, 109 Jervois Street, Sheung Wan",$51-$100,9,2,Western,Bakery,Coffee Shop,,Sheung Wan,75,Western,Central and Western,1,114.1504429,22.2857641
Curry Box By Tim,"G/F., 16 Hillier Street, Sheung Wan",$51-$100,7,1,Middle Eastern,Curry,Upper-floor Cafe,,Sheung Wan,75,South Asian,Central and Western,1,114.1516389,22.2853314
Not A Burger,"Shop 8A, G/F, 8-12 Morrison Street, Sheung Wan",Below $50,6,0,Korean,Hamburger,Fast Food,,Sheung Wan,40,Asian,Central and Western,1,114.1501826,22.2861621
Sky Cuisine,"2-5/F, Loon Kee Building, 267-275 Des Voeux Road Central, Sheung Wan",$101-$200,7,1,Guangdong,Seafood,Dim Sum,Stir-Fry,Sheung Wan,300,Hong Kong,Central and Western,1,114.151824,22.286835
208 Duecento Otto,"G/F, 208 Hollywood Road, Sheung Wan",$401-$800,25,20,Italian,Pizza,Western Restaurant,Bar,Sheung Wan,600,Western,Central and Western,1,114.1477,22.285485
Zone-D Ristorante,"Shop 603, 6/F, Cheungs Building, 1-3 Wing Lok Street, Sheung Wan",$201-$400,20,2,Italian,Private Kitchen,,,Sheung Wan,150,Western,Central and Western,1,114.1538818,22.2856373
Cafe Bauhinia,"G/F, 23 New Market Street, Sheung Wan",$51-$100,7,0,Western,Sandwich,Salad,Cake,Sheung Wan,75,Western,Central and Western,1,114.1498319,22.2873378
Idea,"G/F, 48 Jervois Street, Sheung Wan",Below $50,13,0,Western Restaurant,,,,Sheung Wan,40,Western,Central and Western,1,114.152721,22.2852068
Fusion Gourmet,"1/F, The Pemberton, 22-26 Bonham Strand, Sheung Wan",$101-$200,15,2,International,Western Restaurant,,,Sheung Wan,300,International,Central and Western,1,114.1521281,22.2854991
Chang Long Shi Fu,"G/F., 11 Burd Street, Sheung Wan",Below $50,10,0,Hong Kong Style,Stir-Fry,,,Sheung Wan,40,Hong Kong,Central and Western,1,114.1513737,22.2854301
Oliver's Super Sandwiches,"Shop 239 - 240, 2/F, Shun Tak Centre, 168-200 Connaught Road Central, Sheung Wan",$51-$100,10,2,British,Bakery,Meatless Menu,Fast Food,Sheung Wan,75,Western,Central and Western,1,114.1518293,22.2878529
Gaia Ristorante,"G/F, Grand Millennium Plaza, 181 Queen's Road,, Sheung Wan",$201-$400,25,8,Italian,Pizza,Western Restaurant,Coffee Shop,Sheung Wan,150,Western,Central and Western,1,114.1536916,22.2851582
Ina Hotpot by Inagiku,"Shop A, G/F, Gold Union Commercial Building, 70-72 Connaught Road West, Sheung Wan",$201-$400,10,0,Japanese,Hot Pot,,,Sheung Wan,150,Asian,Central and Western,1,114.1467464,22.2881129
il Bel Paese,"G/F, 299 Queen's Road Central, Sheung Wan",$201-$400,8,0,Italian,Bakery,Wine/Cigar,Dessert,Sheung Wan,150,Western,Central and Western,1,114.15064,22.2849752
,"Shop 5, No. 1 Queen's Road, Sheung Wan",$51-$100,35,9,Chiu Chow,Stir-Fry,,,Sheung Wan,75,Chinese,Central and Western,1,114.1587016,22.2803014
Euro Eatery,"Shop 103, Cheungs Building, 1-3 Wing Lok Street, Sheung Wan",$51-$100,5,2,Western,,,,Sheung Wan,75,Western,Central and Western,1,114.1538818,22.2856373
LOF10,"Flat B, 1 U Lam Terrace, Sheung Wan",Below $50,8,1,International,Bakery,Dessert,All Day Breakfast,Sheung Wan,40,International,Central and Western,1,114.1489395,22.2834309
